Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
405,0,0,Nazr Mohammed,SAS,27,77,35,42,25.2,9.5,3.8,7.8,48,0,0,0,2,2.9,67.4,3.2,4.4,7.6,0.4,1.4,0.8,1.1,3.1,18,0,-2.3
405,0,0,Mickael Pietrus,GSW,23,67,29,38,19.9,9.5,3.2,7.5,42.7,1,2.9,34.4,2.1,3,69.8,1,1.9,2.8,1.2,1.4,0.7,0.3,2.1,0,0,-0.6
405,0,0,Mark Blount,BOS,29,82,45,37,26.1,9.4,4,7.5,52.9,0,0,0,1.4,2,71.3,1.7,3.1,4.8,1.6,1.9,0.4,0.8,2.8,1,0,-0.3
405,0,0,Brendan Haywood,WAS,25,68,38,30,27.5,9.4,3.5,6.3,56,0,0,0,2.3,3.8,60.9,3,3.9,6.8,0.8,1.4,0.8,1.7,3.2,6,0,3.3
405,0,0,Derek Anderson,POR,30,47,16,31,26.3,9.2,3.2,8.3,38.9,1.2,3.2,38.4,1.5,1.9,80.5,0.5,2.2,2.7,3,1.5,0.8,0.1,1.9,0,0,-2.3
405,0,0,Erick Dampier,DAL,29,59,43,16,27.2,9.2,3.4,6.2,55,0,0.1,0,2.3,3.9,60.5,3.1,5.4,8.5,0.9,1.7,0.3,1.4,3.5,16,0,5.1
405,0,0,Marquis Daniels,DAL,24,60,42,18,23.6,9.1,3.7,8.4,43.7,0.1,0.6,20,1.6,2.2,73.7,1.5,2.2,3.6,2.1,1.4,1.4,0.2,2.1,1,0,0.7
405,0,0,Chris Kaman,LAC,23,63,28,35,26,9.1,3.9,7.9,49.7,0,0,0,1.3,1.9,66.1,2.1,4.6,6.7,1.2,1.8,0.4,1.1,2.9,15,0,-2
405,0,0,Andre Iguodala,PHI,21,82,43,39,32.7,9,3.3,6.7,49.3,0.6,1.7,33.1,1.9,2.6,74.3,1.1,4.6,5.7,3,1.7,1.7,0.6,2.5,5,1,-0.2
405,0,0,Brian Cardinal,MEM,28,58,32,26,24.7,9,2.8,7.4,37,0.8,2.2,35.2,2.7,3.1,87.3,1.1,2.8,3.9,2,1.4,1.5,0.3,3,0,0,2.1
405,0,0,Matt Carroll,CHA,24,25,6,19,17.3,9,2.8,7.2,38.9,0.5,1.6,33.3,2.8,3.3,85.5,0.5,1.9,2.4,0.7,1,0.7,0.1,1.5,0,0,0.9
405,0,0,Austin Croshere,IND,30,73,40,33,25,8.9,2.6,6.8,37.8,0.6,2.4,25.9,3.1,3.5,88.3,1.4,3.7,5.1,1.3,1.4,0.7,0.2,2.1,4,0,-2.3
405,0,0,Gordan Giricek,UTA,28,81,26,55,20.4,8.8,3.5,7.8,44.8,0.5,1.3,36.2,1.4,1.7,81,0.3,1.9,2.2,1.7,1.1,0.6,0.1,1.9,0,0,-1
405,0,0,Troy Hudson,MIN,29,79,42,37,22.1,8.7,3.4,8.4,40.1,1.1,3.3,34.5,0.9,1.1,77.8,0.2,1.1,1.3,3.6,1.4,0.3,0.1,1.5,0,0,0.1
405,0,0,Jameer Nelson,ORL,23,79,34,45,20.4,8.7,3.6,7.9,45.5,0.6,1.8,31.2,0.9,1.4,68.2,0.7,1.8,2.4,3,1.5,1,0,2.5,1,0,-1.4
