Season,Position,AllTeam,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,DD2,TD3,+/-
1617,0,0,Draymond Green,GSW,27,76,62,14,32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2,2.8,70.9,1.3,6.6,7.9,7,2.4,2,1.4,2.9,17,5,10.8
1617,0,0,Jusuf Nurkic,POR,22,65,34,31,21.4,10.2,4.2,8.2,50.7,0,0,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,13,0,-0.8
1617,0,0,Josh Richardson,MIA,23,53,23,30,30.5,10.2,3.8,9.7,39.4,1.4,4.3,33,1.1,1.5,77.9,0.7,2.5,3.2,2.6,1.2,1.1,0.7,2.5,0,0,0.1
1617,0,0,Tony Parker,SAS,34,63,46,17,25.2,10.1,4.2,9,46.6,0.4,1.1,33.3,1.3,1.9,72.6,0.1,1.7,1.8,4.5,1.4,0.5,0,1.5,0,0,2.8
1617,0,0,Kyle Korver,CLE,36,67,33,34,26.2,10.1,3.6,7.7,46.4,2.4,5.4,45.1,0.6,0.6,90.5,0.1,2.7,2.8,1.6,1,0.5,0.3,1.6,0,0,-2.5
1617,0,0,Yogi Ferrell,DAL,23,46,18,28,26,10,3.5,8.6,40.6,1.5,3.8,38.6,1.6,1.9,83.1,0.4,2,2.4,3.7,1.5,0.9,0.2,2,0,0,-2.6
1617,0,0,Maurice Harkless,POR,23,77,38,39,28.9,10,4.1,8.1,50.3,0.9,2.5,35.1,1,1.6,62.1,1.6,2.8,4.4,1.1,1.1,1.1,0.9,2.8,2,0,0.6
1617,0,0,Trevor Booker,BKN,29,71,18,53,24.7,10,4.3,8.3,51.6,0.4,1.1,32.1,1,1.5,67.3,2,6,8,1.9,1.8,1.1,0.4,2.1,16,0,-4.7
1617,0,0,Gorgui Dieng,MIN,27,82,31,51,32.4,10,4,8.1,50.2,0.2,0.5,37.2,1.7,2,81.4,2.3,5.6,7.9,1.9,1.3,1.1,1.2,3.1,13,0,0.4
1617,0,0,Shabazz Muhammad,MIN,24,78,29,49,19.4,9.9,3.7,7.7,48.2,0.6,1.9,33.8,1.9,2.4,77.4,1.1,1.7,2.8,0.4,0.7,0.3,0.1,1.1,1,0,-1
1617,0,0,Jamal Murray,DEN,20,82,40,42,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,1.4,0.6,0.3,1.5,1,0,0.9
1617,0,0,Ty Lawson,SAC,29,69,25,44,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2,2.6,4.8,1.9,1.1,0.1,1.7,3,1,-2.3
1617,0,0,Richaun Holmes,PHI,23,57,16,41,20.9,9.8,4,7.2,55.8,0.5,1.4,35.1,1.3,1.8,69.9,1.6,3.8,5.5,1,1,0.7,1,2.4,5,0,-4
1617,0,0,Jeremy Lamb,CHA,24,62,27,35,18.4,9.7,3.6,7.9,46,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.6,0.4,0.4,1.6,1,0,-0.6
